transaction_id,delivery_confirmed,tracking_matches_address,signed_delivery_proof
TXN100000,True,True,False
TXN100001,False,False,False
TXN100002,False,False,False
TXN100003,False,False,False
TXN100004,True,True,True
TXN100005,True,True,False
TXN100006,True,True,True
TXN100007,True,True,False
TXN100008,True,True,True
TXN100009,False,False,False
TXN100010,False,False,False
TXN100011,True,True,False
TXN100012,True,True,False
TXN100013,True,True,False
TXN100014,True,True,False
TXN100015,False,False,False
TXN100016,True,True,True
TXN100017,True,True,False
TXN100018,False,False,False
TXN100019,True,True,True
TXN100020,False,False,False
TXN100021,False,False,False
TXN100022,False,False,False
TXN100023,False,False,False
TXN100024,False,False,False
TXN100025,True,True,True
TXN100026,True,True,True
TXN100027,True,True,True
TXN100028,False,False,False
TXN100029,True,True,False
TXN100030,True,True,True
TXN100031,True,True,True
TXN100032,True,True,True
TXN100033,False,False,False
TXN100034,True,True,True
TXN100035,False,False,False
TXN100036,True,False,False
TXN100037,False,False,False
TXN100038,False,False,False
TXN100039,False,False,False
TXN100040,True,True,True
TXN100041,True,True,False
TXN100042,True,True,True
TXN100043,True,True,True
TXN100044,True,True,False
TXN100045,True,True,False
TXN100046,True,True,False
TXN100047,True,True,False
TXN100048,True,True,True
TXN100049,False,False,False
TXN100050,False,False,False
TXN100051,True,True,False
TXN100052,True,True,True
TXN100053,True,True,False
TXN100054,True,True,False
TXN100055,True,True,False
TXN100056,False,False,False
TXN100057,False,False,False
TXN100058,True,True,False
TXN100059,False,False,False
TXN100060,False,False,False
TXN100061,False,False,False
TXN100062,True,True,False
TXN100063,False,False,False
TXN100064,True,True,False
TXN100065,True,True,False
TXN100066,True,True,False
TXN100067,False,False,False
TXN100068,False,False,False
TXN100069,True,True,True
TXN100070,True,True,True
TXN100071,True,True,True
TXN100072,True,True,True
TXN100073,True,True,False
TXN100074,True,True,False
TXN100075,True,True,True
TXN100076,False,False,False
TXN100077,False,False,False
TXN100078,True,True,True
TXN100079,True,True,False
TXN100080,True,True,False
TXN100081,True,True,False
TXN100082,False,False,False
TXN100083,True,True,False
TXN100084,True,True,True
TXN100085,True,True,False
TXN100086,True,True,False
TXN100087,True,True,True
TXN100088,True,True,False
TXN100089,True,True,True
TXN100090,False,False,False
TXN100091,True,False,True
TXN100092,True,True,False
TXN100093,True,True,False
TXN100094,False,False,False
TXN100095,True,True,False
TXN100096,True,True,True
TXN100097,True,True,True
TXN100098,False,False,False
TXN100099,False,False,False
TXN100100,False,False,False
TXN100101,True,True,True
TXN100102,True,False,False
TXN100103,False,False,False
TXN100104,True,True,True
TXN100105,True,True,False
TXN100106,False,False,False
TXN100107,True,True,True
TXN100108,False,False,False
TXN100109,True,True,True
TXN100110,True,True,True
TXN100111,True,True,False
TXN100112,False,False,False
TXN100113,False,False,False
TXN100114,True,True,False
TXN100115,True,True,True
TXN100116,True,True,True
TXN100117,True,True,True
TXN100118,False,False,False
TXN100119,False,False,False
TXN100120,True,False,True
TXN100121,True,True,False
TXN100122,True,True,True
TXN100123,True,True,False
TXN100124,True,False,False
TXN100125,True,True,True
TXN100126,False,False,False
TXN100127,True,False,True
TXN100128,False,False,False
TXN100129,True,True,True
TXN100130,True,True,True
TXN100131,True,False,True
TXN100132,True,True,True
TXN100133,False,False,False
TXN100134,False,False,False
TXN100135,False,False,False
TXN100136,True,False,True
TXN100137,False,False,False
TXN100138,False,False,False
TXN100139,True,True,True
TXN100140,True,True,False
TXN100141,True,True,False
TXN100142,False,False,False
TXN100143,True,True,True
TXN100144,True,True,True
TXN100145,True,True,False
TXN100146,True,True,True
TXN100147,True,True,False
TXN100148,True,True,False
TXN100149,False,False,False
TXN100150,True,True,True
TXN100151,False,False,False
TXN100152,True,True,True
TXN100153,True,True,False
TXN100154,False,False,False
TXN100155,False,False,False
TXN100156,False,False,False
TXN100157,True,True,False
TXN100158,True,True,False
TXN100159,False,False,False
TXN100160,False,False,False
TXN100161,False,False,False
TXN100162,True,False,False
TXN100163,False,False,False
TXN100164,True,True,True
TXN100165,False,False,False
TXN100166,False,False,False
TXN100167,True,True,True
TXN100168,False,False,False
TXN100169,False,False,False
TXN100170,False,False,False
TXN100171,False,False,False
TXN100172,True,True,True
TXN100173,False,False,False
