transaction_id,merchant_id,created_at,reason_code,amount_inr,delivery_confirmed,tracking_matches_address,signed_delivery_proof,device_matches_prior_orders,ip_geo_matches_billing,customer_prior_clean_orders,support_ticket_exists,duplicate_txn_id_found,subscription_cancel_logged,days_since_transaction,is_contradictory,outcome
TXN100000,MERCH_SAAS_02,2025-03-19T20:00:00+00:00,unrecognized_transaction,2350.01,False,False,False,True,False,4,False,False,False,103,False,lost
TXN100001,MERCH_RETAIL_01,2025-01-13T23:00:00+00:00,unrecognized_transaction,3023.18,False,False,False,False,True,1,True,False,False,168,False,lost
TXN100002,MERCH_RETAIL_01,2025-04-12T16:00:00+00:00,item_not_as_described,2352.63,True,True,False,True,False,4,True,False,False,79,False,won
TXN100003,MERCH_ECOM_03,2025-04-28T11:00:00+00:00,item_not_received,3961.66,True,True,False,True,True,1,True,False,False,63,False,won
TXN100004,MERCH_ECOM_03,2025-06-29T15:00:00+00:00,duplicate_charge,3054.75,True,True,True,True,True,3,True,True,False,1,False,lost
TXN100005,MERCH_ECOM_03,2025-03-24T06:00:00+00:00,subscription_cancelled,3919.44,False,False,False,False,True,2,False,False,True,98,False,won
TXN100006,MERCH_SAAS_02,2025-01-18T15:00:00+00:00,duplicate_charge,1346.31,False,True,True,True,True,1,False,True,False,163,True,lost
TXN100007,MERCH_SAAS_02,2025-05-01T11:00:00+00:00,item_not_received,4481.62,False,False,False,True,True,3,True,False,False,60,False,lost
TXN100008,MERCH_ECOM_03,2025-02-27T02:00:00+00:00,unrecognized_transaction,2173.83,False,False,False,True,False,6,False,False,False,123,False,lost
TXN100009,MERCH_ECOM_03,2025-01-21T12:00:00+00:00,unrecognized_transaction,1958.38,True,True,False,True,True,4,False,False,False,160,False,lost
TXN100010,MERCH_RETAIL_01,2025-06-18T00:00:00+00:00,duplicate_charge,3140.18,True,True,False,True,True,6,True,True,False,12,False,won
TXN100011,MERCH_SAAS_02,2025-06-01T02:00:00+00:00,duplicate_charge,1244.68,True,True,False,True,False,3,True,True,False,29,False,won
TXN100012,MERCH_ECOM_03,2025-06-23T20:00:00+00:00,item_not_as_described,2847.94,True,True,True,False,False,1,False,False,False,7,False,won
TXN100013,MERCH_RETAIL_01,2025-05-08T01:00:00+00:00,item_not_received,10746.28,True,True,False,False,True,4,True,False,False,53,False,won
TXN100014,MERCH_RETAIL_01,2025-05-31T20:00:00+00:00,subscription_cancelled,5622.29,False,False,False,False,False,4,False,False,True,30,False,won
TXN100015,MERCH_RETAIL_01,2025-05-13T07:00:00+00:00,item_not_as_described,1280.09,True,True,True,False,False,6,False,False,False,48,False,won
TXN100016,MERCH_RETAIL_01,2025-04-05T22:00:00+00:00,unrecognized_transaction,1331.7,True,False,False,True,False,4,False,False,False,86,False,lost
TXN100017,MERCH_DIGITAL_04,2025-06-02T02:00:00+00:00,duplicate_charge,1999.13,True,True,False,True,False,5,True,False,False,28,False,lost
TXN100018,MERCH_RETAIL_01,2025-04-28T23:00:00+00:00,item_not_as_described,5146.05,False,False,False,False,True,4,True,False,False,63,False,won
TXN100019,MERCH_DIGITAL_04,2025-01-08T21:00:00+00:00,item_not_received,1958.24,True,True,True,False,True,3,True,False,False,173,False,won
TXN100020,MERCH_ECOM_03,2025-06-23T05:00:00+00:00,duplicate_charge,5272.77,False,False,False,True,False,4,True,False,False,7,False,lost
TXN100021,MERCH_RETAIL_01,2025-01-13T14:00:00+00:00,duplicate_charge,5177.83,True,False,False,True,True,5,True,True,False,168,False,won
TXN100022,MERCH_RETAIL_01,2025-06-25T03:00:00+00:00,item_not_as_described,1569.01,True,True,True,True,True,3,True,False,False,5,False,won
