transaction_id,support_ticket_exists,resolution
TXN100000,False,no_ticket_filed
TXN100001,True,customer_contacted_resolved
TXN100002,True,customer_contacted_resolved
TXN100003,True,customer_contacted_resolved
TXN100004,True,customer_contacted_resolved
TXN100005,False,no_ticket_filed
TXN100006,False,no_ticket_filed
TXN100007,True,customer_contacted_resolved
TXN100008,False,no_ticket_filed
TXN100009,False,no_ticket_filed
TXN100010,True,customer_contacted_resolved
TXN100011,True,customer_contacted_resolved
TXN100012,False,no_ticket_filed
TXN100013,True,customer_contacted_resolved
TXN100014,False,no_ticket_filed
TXN100015,False,no_ticket_filed
TXN100016,False,no_ticket_filed
TXN100017,True,customer_contacted_resolved
TXN100018,True,customer_contacted_resolved
TXN100019,True,customer_contacted_resolved
TXN100020,True,customer_contacted_resolved
TXN100021,True,customer_contacted_resolved
TXN100022,True,customer_contacted_resolved
TXN100023,True,customer_contacted_resolved
TXN100024,True,customer_contacted_resolved
TXN100025,False,no_ticket_filed
TXN100026,False,no_ticket_filed
TXN100027,True,customer_contacted_resolved
TXN100028,True,customer_contacted_resolved
TXN100029,True,customer_contacted_resolved
TXN100030,True,customer_contacted_resolved
TXN100031,True,customer_contacted_resolved
TXN100032,True,customer_contacted_resolved
TXN100033,False,no_ticket_filed
TXN100034,True,customer_contacted_resolved
TXN100035,False,no_ticket_filed
TXN100036,False,no_ticket_filed
TXN100037,True,customer_contacted_resolved
TXN100038,False,no_ticket_filed
TXN100039,False,no_ticket_filed
TXN100040,True,customer_contacted_resolved
TXN100041,False,no_ticket_filed
TXN100042,True,customer_contacted_resolved
TXN100043,False,no_ticket_filed
TXN100044,False,no_ticket_filed
TXN100045,True,customer_contacted_resolved
TXN100046,False,no_ticket_filed
TXN100047,False,no_ticket_filed
TXN100048,True,customer_contacted_resolved
TXN100049,False,no_ticket_filed
TXN100050,True,customer_contacted_resolved
TXN100051,True,customer_contacted_resolved
TXN100052,False,no_ticket_filed
TXN100053,False,no_ticket_filed
TXN100054,True,customer_contacted_resolved
TXN100055,True,customer_contacted_resolved
TXN100056,False,no_ticket_filed
TXN100057,True,customer_contacted_resolved
TXN100058,True,customer_contacted_resolved
TXN100059,True,customer_contacted_resolved
TXN100060,False,no_ticket_filed
TXN100061,False,no_ticket_filed
TXN100062,False,no_ticket_filed
TXN100063,False,no_ticket_filed
TXN100064,True,customer_contacted_resolved
TXN100065,False,no_ticket_filed
TXN100066,False,no_ticket_filed
TXN100067,False,no_ticket_filed
TXN100068,True,customer_contacted_resolved
TXN100069,True,customer_contacted_resolved
TXN100070,True,customer_contacted_resolved
TXN100071,True,customer_contacted_resolved
TXN100072,True,customer_contacted_resolved
TXN100073,False,no_ticket_filed
TXN100074,True,customer_contacted_resolved
TXN100075,False,no_ticket_filed
TXN100076,False,no_ticket_filed
TXN100077,True,customer_contacted_resolved
TXN100078,True,customer_contacted_resolved
TXN100079,True,customer_contacted_resolved
TXN100080,True,customer_contacted_resolved
TXN100081,False,no_ticket_filed
TXN100082,True,customer_contacted_resolved
TXN100083,True,customer_contacted_resolved
TXN100084,True,customer_contacted_resolved
TXN100085,False,no_ticket_filed
TXN100086,False,no_ticket_filed
TXN100087,False,no_ticket_filed
TXN100088,True,customer_contacted_resolved
TXN100089,False,no_ticket_filed
TXN100090,False,no_ticket_filed
TXN100091,False,no_ticket_filed
TXN100092,True,customer_contacted_resolved
TXN100093,False,no_ticket_filed
TXN100094,True,customer_contacted_resolved
TXN100095,False,no_ticket_filed
TXN100096,False,no_ticket_filed
TXN100097,False,no_ticket_filed
TXN100098,True,customer_contacted_resolved
TXN100099,False,no_ticket_filed
TXN100100,False,no_ticket_filed
TXN100101,True,customer_contacted_resolved
TXN100102,False,no_ticket_filed
TXN100103,False,no_ticket_filed
TXN100104,False,no_ticket_filed
TXN100105,True,customer_contacted_resolved
TXN100106,False,no_ticket_filed
TXN100107,False,no_ticket_filed
TXN100108,True,customer_contacted_resolved
TXN100109,False,no_ticket_filed
TXN100110,False,no_ticket_filed
TXN100111,False,no_ticket_filed
TXN100112,True,customer_contacted_resolved
TXN100113,True,customer_contacted_resolved
TXN100114,False,no_ticket_filed
TXN100115,False,no_ticket_filed
TXN100116,True,customer_contacted_resolved
TXN100117,True,customer_contacted_resolved
TXN100118,True,customer_contacted_resolved
TXN100119,False,no_ticket_filed
TXN100120,True,customer_contacted_resolved
TXN100121,False,no_ticket_filed
TXN100122,True,customer_contacted_resolved
TXN100123,False,no_ticket_filed
TXN100124,False,no_ticket_filed
TXN100125,True,customer_contacted_resolved
TXN100126,False,no_ticket_filed
TXN100127,True,customer_contacted_resolved
TXN100128,True,customer_contacted_resolved
TXN100129,True,customer_contacted_resolved
TXN100130,False,no_ticket_filed
TXN100131,False,no_ticket_filed
TXN100132,True,customer_contacted_resolved
TXN100133,False,no_ticket_filed
TXN100134,True,customer_contacted_resolved
TXN100135,True,customer_contacted_resolved
TXN100136,False,no_ticket_filed
TXN100137,False,no_ticket_filed
TXN100138,True,customer_contacted_resolved
TXN100139,True,customer_contacted_resolved
TXN100140,False,no_ticket_filed
TXN100141,False,no_ticket_filed
TXN100142,True,customer_contacted_resolved
TXN100143,False,no_ticket_filed
TXN100144,False,no_ticket_filed
TXN100145,True,customer_contacted_resolved
TXN100146,False,no_ticket_filed
TXN100147,False,no_ticket_filed
TXN100148,False,no_ticket_filed
TXN100149,True,customer_contacted_resolved
TXN100150,True,customer_contacted_resolved
TXN100151,True,customer_contacted_resolved
TXN100152,True,customer_contacted_resolved
TXN100153,True,customer_contacted_resolved
TXN100154,True,customer_contacted_resolved
TXN100155,False,no_ticket_filed
TXN100156,True,customer_contacted_resolved
TXN100157,False,no_ticket_filed
TXN100158,True,customer_contacted_resolved
TXN100159,True,customer_contacted_resolved
TXN100160,False,no_ticket_filed
TXN100161,False,no_ticket_filed
TXN100162,True,customer_contacted_resolved
TXN100163,False,no_ticket_filed
TXN100164,False,no_ticket_filed
TXN100165,False,no_ticket_filed
TXN100166,True,customer_contacted_resolved
TXN100167,False,no_ticket_filed
TXN100168,False,no_ticket_filed
TXN100169,False,no_ticket_filed
TXN100170,False,no_ticket_filed
TXN100171,True,customer_contacted_resolved
TXN100172,True,customer_contacted_resolved
TXN100173,True,customer_contacted_resolved
TXN100174,True,customer_contacted_resolved
TXN100175,False,no_ticket_filed
TXN100176,True,customer_contacted_resolved
TXN100177,False,no_ticket_filed
TXN100178,True,customer_contacted_resolved
TXN100179,True,customer_contacted_resolved
TXN100180,False,no_ticket_filed
TXN100181,False,no_ticket_filed
TXN100182,True,customer_contacted_resolved
TXN100183,True,customer_contacted_resolved
TXN100184,True,customer_contacted_resolved
TXN100185,True,customer_contacted_resolved
TXN100186,True,customer_contacted_resolved
TXN100187,True,customer_contacted_resolved
TXN100188,False,no_ticket_filed
TXN100189,False,no_ticket_filed
TXN100190,True,customer_contacted_resolved
TXN100191,False,no_ticket_filed
TXN100192,True,customer_contacted_resolved
TXN100193,True,customer_contacted_resolved
TXN100194,False,no_ticket_filed
TXN100195,True,customer_contacted_resolved
TXN100196,False,no_ticket_filed
TXN100197,False,no_ticket_filed
TXN100198,False,no_ticket_filed
TXN100199,True,customer_contacted_resolved
TXN100200,False,no_ticket_filed
TXN100201,True,customer_contacted_resolved
TXN100202,False,no_ticket_filed
TXN100203,False,no_ticket_filed
TXN100204,False,no_ticket_filed
TXN100205,False,no_ticket_filed
TXN100206,False,no_ticket_filed
TXN100207,False,no_ticket_filed
TXN100208,True,customer_contacted_resolved
TXN100209,True,customer_contacted_resolved
TXN100210,True,customer_contacted_resolved
TXN100211,False,no_ticket_filed
TXN100212,True,customer_contacted_resolved
TXN100213,True,customer_contacted_resolved
TXN100214,False,no_ticket_filed
TXN100215,False,no_ticket_filed
TXN100216,False,no_ticket_filed
TXN100217,False,no_ticket_filed
TXN100218,True,customer_contacted_resolved
TXN100219,False,no_ticket_filed
TXN100220,True,customer_contacted_resolved
TXN100221,False,no_ticket_filed
TXN100222,True,customer_contacted_resolved
