transaction_id,merchant_id,created_at,reason_code,amount_inr,delivery_confirmed,tracking_matches_address,signed_delivery_proof,device_matches_prior_orders,ip_geo_matches_billing,customer_prior_clean_orders,support_ticket_exists,duplicate_txn_id_found,subscription_cancel_logged,days_since_transaction,is_contradictory,outcome
TXN103024,MERCH_DIGITAL_04,2025-01-01T15:00:00+00:00,subscription_cancelled,4904.12,True,True,True,True,True,8,False,False,False,180,False,lost
TXN103396,MERCH_ECOM_03,2025-04-18T03:00:00+00:00,subscription_cancelled,79.35,True,True,True,False,False,2,False,False,True,73,False,won
TXN101623,MERCH_RETAIL_01,2025-03-11T20:00:00+00:00,item_not_received,1581.01,True,True,True,False,False,6,True,False,False,111,False,lost
TXN103412,MERCH_SAAS_02,2025-01-28T23:00:00+00:00,unrecognized_transaction,484.15,True,True,False,True,True,3,False,False,False,153,False,won
TXN101181,MERCH_RETAIL_01,2025-05-20T01:00:00+00:00,unrecognized_transaction,3131.54,True,True,False,False,True,1,False,False,False,41,False,lost
TXN102383,MERCH_SAAS_02,2025-03-27T17:00:00+00:00,duplicate_charge,2928.28,True,True,False,False,True,1,False,False,False,95,False,lost
TXN101651,MERCH_ECOM_03,2025-06-28T12:00:00+00:00,unrecognized_transaction,3029.51,True,True,False,False,False,3,False,False,False,2,False,won
TXN104440,MERCH_SAAS_02,2025-05-18T18:00:00+00:00,item_not_as_described,1235.7,True,False,False,True,False,5,False,False,False,43,False,lost
TXN101709,MERCH_DIGITAL_04,2025-01-28T11:00:00+00:00,item_not_received,3561.07,False,False,False,True,True,3,False,False,False,153,False,lost
TXN103334,MERCH_SAAS_02,2025-02-23T19:00:00+00:00,subscription_cancelled,2799.12,True,True,False,True,True,5,False,False,False,127,False,won
TXN102310,MERCH_RETAIL_01,2025-01-31T03:00:00+00:00,item_not_received,767.3,True,True,True,True,True,5,False,False,False,150,False,lost
TXN101695,MERCH_SAAS_02,2025-06-09T13:00:00+00:00,unrecognized_transaction,2018.63,False,False,False,True,False,2,True,False,False,21,False,lost
TXN103565,MERCH_RETAIL_01,2025-02-15T01:00:00+00:00,item_not_received,1977.19,True,True,True,True,False,2,True,False,False,135,False,won
TXN104623,MERCH_ECOM_03,2025-04-06T03:00:00+00:00,subscription_cancelled,1785.21,False,False,False,False,True,3,True,False,True,85,False,won
TXN101248,MERCH_RETAIL_01,2025-03-05T02:00:00+00:00,unrecognized_transaction,5186.02,True,True,True,False,False,1,True,False,False,117,False,lost
TXN104129,MERCH_RETAIL_01,2025-02-02T21:00:00+00:00,item_not_received,257.99,True,True,True,True,False,6,False,False,False,148,False,won
TXN102421,MERCH_ECOM_03,2025-06-16T23:00:00+00:00,item_not_as_described,1700.09,True,True,False,False,True,3,False,False,False,14,False,won
TXN101404,MERCH_ECOM_03,2025-06-05T08:00:00+00:00,unrecognized_transaction,1150.01,True,True,False,True,False,7,False,False,False,25,False,won
TXN102512,MERCH_RETAIL_01,2025-01-24T13:00:00+00:00,item_not_received,818.11,True,True,True,True,True,1,True,False,False,157,False,won
TXN100469,MERCH_ECOM_03,2025-04-12T18:00:00+00:00,unrecognized_transaction,2233.14,True,False,False,True,True,8,False,False,False,79,False,won
TXN103323,MERCH_ECOM_03,2025-04-22T08:00:00+00:00,duplicate_charge,1184.18,True,True,True,True,True,1,False,True,False,69,False,won
TXN102012,MERCH_SAAS_02,2025-02-01T05:00:00+00:00,duplicate_charge,1269.01,False,True,True,False,True,5,False,True,False,149,True,lost
TXN104618,MERCH_RETAIL_01,2025-01-22T16:00:00+00:00,unrecognized_transaction,3559.09,True,True,True,False,True,1,True,False,False,159,False,lost
TXN102056,MERCH_DIGITAL_04,2025-03-24T04:00:00+00:00,unrecognized_transaction,1449.47,True,True,True,True,True,2,False,False,False,98,False,won
TXN103157,MERCH_RETAIL_01,2025-03-19T13:00:00+00:00,subscription_cancelled,1178.99,True,True,False,True,True,6,False,False,False,103,False,lost
TXN104479,MERCH_DIGITAL_04,2025-02-03T00:00:00+00:00,duplicate_charge,2014.84,False,True,True,False,False,1,False,True,False,147,True,lost
TXN102113,MERCH_ECOM_03,2025-05-26T16:00:00+00:00,subscription_cancelled,4111.03,False,False,False,False,False,3,True,False,False,35,False,lost
TXN102225,MERCH_RETAIL_01,2025-05-04T17:00:00+00:00,item_not_as_described,1371.21,True,True,True,True,False,2,False,False,False,57,False,lost
TXN100545,MERCH_SAAS_02,2025-05-24T14:00:00+00:00,duplicate_charge,3217.66,False,False,False,True,True,0,False,False,False,37,False,lost
TXN101252,MERCH_SAAS_02,2025-05-09T17:00:00+00:00,subscription_cancelled,1298.85,True,True,False,False,True,8,False,False,False,52,False,lost
TXN103822,MERCH_ECOM_03,2025-05-18T17:00:00+00:00,subscription_cancelled,5703.29,False,False,False,True,True,5,True,False,False,43,False,lost
TXN102916,MERCH_SAAS_02,2025-06-16T07:00:00+00:00,item_not_received,5459.36,False,False,False,True,False,8,True,False,False,14,False,lost
TXN102968,MERCH_ECOM_03,2025-05-03T06:00:00+00:00,item_not_received,3968.46,True,True,True,True,False,2,True,False,False,58,False,won
TXN101485,MERCH_DIGITAL_04,2025-05-22T15:00:00+00:00,item_not_received,4125.44,False,False,False,True,True,6,False,False,False,39,False,lost
TXN101147,MERCH_RETAIL_01,2025-03-16T05:00:00+00:00,duplicate_charge,632.42,True,True,False,False,True,4,True,False,False,106,False,lost
TXN100293,MERCH_RETAIL_01,2025-06-08T04:00:00+00:00,unrecognized_transaction,920.11,True,True,True,False,False,5,True,False,False,22,False,won
TXN104657,MERCH_DIGITAL_04,2025-05-02T16:00:00+00:00,unrecognized_transaction,869.56,True,False,True,True,True,3,False,False,False,59,False,lost
TXN102765,MERCH_SAAS_02,2025-04-02T16:00:00+00:00,item_not_received,1704.31,False,False,False,True,False,3,False,False,False,89,False,won
TXN102416,MERCH_SAAS_02,2025-05-04T11:00:00+00:00,subscription_cancelled,6621.21,True,True,True,True,False,3,True,False,True,57,False,won
TXN104511,MERCH_ECOM_03,2025-04-30T12:00:00+00:00,item_not_received,1130.22,True,False,False,True,True,6,False,False,False,61,False,won
TXN103477,MERCH_SAAS_02,2025-02-19T04:00:00+00:00,unrecognized_transaction,3239.07,False,True,True,True,True,4,False,False,False,131,True,won
TXN104208,MERCH_SAAS_02,2025-06-15T16:00:00+00:00,unrecognized_transaction,1857.92,False,False,False,True,True,3,True,False,False,15,False,won
TXN102441,MERCH_SAAS_02,2025-01-21T13:00:00+00:00,unrecognized_transaction,2175.33,True,True,False,True,True,3,True,False,False,160,False,won
TXN103767,MERCH_RETAIL_01,2025-01-10T20:00:00+00:00,unrecognized_transaction,1758.97,False,False,False,True,True,4,False,False,False,171,False,lost
TXN101902,MERCH_RETAIL_01,2025-05-05T03:00:00+00:00,duplicate_charge,3426.75,True,True,True,True,True,3,True,False,False,56,False,lost
TXN101392,MERCH_SAAS_02,2025-05-27T19:00:00+00:00,unrecognized_transaction,1243.57,True,True,True,True,True,5,True,False,False,34,False,won
TXN104948,MERCH_RETAIL_01,2025-02-22T18:00:00+00:00,item_not_received,2735.56,True,True,False,True,False,3,False,False,False,128,False,lost
TXN101134,MERCH_RETAIL_01,2025-01-24T05:00:00+00:00,item_not_received,2687.45,False,False,False,False,True,8,False,False,False,157,False,lost
TXN103046,MERCH_DIGITAL_04,2025-01-13T08:00:00+00:00,item_not_received,4736.65,True,True,True,True,True,3,False,False,False,168,False,won
TXN101669,MERCH_RETAIL_01,2025-05-20T16:00:00+00:00,unrecognized_transaction,931.55,True,True,False,True,True,2,False,False,False,41,False,lost
TXN103759,MERCH_SAAS_02,2025-04-28T20:00:00+00:00,duplicate_charge,1195.52,True,False,False,True,True,3,True,True,False,63,False,won
TXN104724,MERCH_ECOM_03,2025-03-15T01:00:00+00:00,item_not_received,2703.37,True,True,False,True,True,1,True,False,False,107,False,lost
TXN100760,MERCH_RETAIL_01,2025-01-14T23:00:00+00:00,duplicate_charge,3789.92,True,True,True,False,True,7,True,True,False,167,False,won
TXN102924,MERCH_SAAS_02,2025-03-25T18:00:00+00:00,subscription_cancelled,3606.6,True,True,False,True,True,0,False,False,False,97,False,won
TXN104533,MERCH_RETAIL_01,2025-02-25T03:00:00+00:00,unrecognized_transaction,9161.04,True,True,True,True,True,1,True,False,False,125,False,won
TXN104253,MERCH_RETAIL_01,2025-01-31T11:00:00+00:00,duplicate_charge,1708.08,False,False,False,True,True,8,True,True,False,150,False,won
TXN101152,MERCH_SAAS_02,2025-03-13T07:00:00+00:00,item_not_received,2902.95,False,False,False,False,True,2,True,False,False,109,False,lost
TXN102307,MERCH_SAAS_02,2025-05-02T16:00:00+00:00,duplicate_charge,2670.85,False,False,False,True,False,0,False,True,False,59,False,won
TXN104215,MERCH_RETAIL_01,2025-02-22T19:00:00+00:00,subscription_cancelled,6990.72,False,False,False,True,True,5,True,False,False,128,False,lost
TXN103993,MERCH_SAAS_02,2025-02-16T18:00:00+00:00,item_not_received,964.31,True,False,True,False,False,1,False,False,False,134,False,lost
TXN102178,MERCH_SAAS_02,2025-03-19T15:00:00+00:00,duplicate_charge,848.55,True,True,False,False,False,3,True,True,False,103,False,won
TXN101593,MERCH_SAAS_02,2025-04-29T21:00:00+00:00,unrecognized_transaction,4635.23,False,True,True,False,True,4,False,False,False,62,True,lost
TXN104603,MERCH_SAAS_02,2025-06-29T03:00:00+00:00,subscription_cancelled,6600.57,False,False,False,True,True,5,False,False,False,1,False,won
TXN104559,MERCH_SAAS_02,2025-06-06T05:00:00+00:00,item_not_as_described,1737.57,True,True,False,True,True,4,True,False,False,24,False,won
TXN100770,MERCH_ECOM_03,2025-04-11T20:00:00+00:00,duplicate_charge,3093.1,True,True,True,True,True,4,True,True,False,80,False,won
TXN103670,MERCH_ECOM_03,2025-03-12T23:00:00+00:00,item_not_received,1596.1,False,False,False,False,True,5,True,False,False,110,False,lost
TXN103269,MERCH_ECOM_03,2025-04-19T13:00:00+00:00,duplicate_charge,1564.73,True,True,True,True,True,5,False,True,False,72,False,won
TXN104858,MERCH_SAAS_02,2025-04-08T19:00:00+00:00,item_not_received,1906.67,True,True,False,False,True,5,False,False,False,83,False,won
TXN100949,MERCH_RETAIL_01,2025-05-11T12:00:00+00:00,unrecognized_transaction,880.61,True,True,True,True,True,4,False,False,False,50,False,won
TXN101342,MERCH_RETAIL_01,2025-05-04T18:00:00+00:00,unrecognized_transaction,2652.83,False,False,False,True,True,4,True,False,False,57,False,won
TXN103526,MERCH_DIGITAL_04,2025-01-05T21:00:00+00:00,subscription_cancelled,3146.9,False,False,False,True,True,2,True,False,True,176,False,won
TXN101258,MERCH_RETAIL_01,2025-03-05T06:00:00+00:00,unrecognized_transaction,1407.66,True,True,False,True,False,4,False,False,False,117,False,lost
