transaction_id,merchant_id,created_at,reason_code,amount_inr,delivery_confirmed,tracking_matches_address,signed_delivery_proof,device_matches_prior_orders,ip_geo_matches_billing,customer_prior_clean_orders,support_ticket_exists,duplicate_txn_id_found,subscription_cancel_logged,days_since_transaction,is_contradictory,outcome
TXN103746,MERCH_RETAIL_01,2025-01-01T00:00:00+00:00,subscription_cancelled,3007.6,True,True,False,False,True,3,True,False,False,180,False,lost
TXN101798,MERCH_SAAS_02,2025-01-01T02:00:00+00:00,item_not_as_described,1767.88,True,False,False,True,False,3,False,False,False,180,False,lost
TXN104226,MERCH_RETAIL_01,2025-01-01T02:00:00+00:00,item_not_as_described,1701.01,True,True,False,True,True,5,True,False,False,180,False,won
TXN101319,MERCH_RETAIL_01,2025-01-01T03:00:00+00:00,unrecognized_transaction,1246.77,False,False,False,False,True,9,True,False,False,180,False,lost
TXN100900,MERCH_SAAS_02,2025-01-01T04:00:00+00:00,item_not_received,3684.05,True,False,True,False,True,1,True,False,False,180,False,lost
TXN104710,MERCH_RETAIL_01,2025-01-01T05:00:00+00:00,unrecognized_transaction,3580.33,False,False,False,True,True,4,True,False,False,180,False,won
TXN104441,MERCH_RETAIL_01,2025-01-01T06:00:00+00:00,item_not_received,759.63,False,False,False,True,False,3,True,False,False,180,False,lost
TXN100834,MERCH_SAAS_02,2025-01-01T08:00:00+00:00,subscription_cancelled,1722.46,True,False,False,True,True,3,False,False,True,180,False,won
TXN104306,MERCH_ECOM_03,2025-01-01T09:00:00+00:00,duplicate_charge,1119.84,True,False,False,False,True,2,True,True,False,180,False,won
TXN104565,MERCH_RETAIL_01,2025-01-01T11:00:00+00:00,item_not_received,2555.46,True,False,False,True,True,2,True,False,False,180,False,lost
TXN100195,MERCH_RETAIL_01,2025-01-01T12:00:00+00:00,unrecognized_transaction,3625.15,True,False,True,True,True,4,True,False,False,180,False,won
TXN102191,MERCH_RETAIL_01,2025-01-01T12:00:00+00:00,subscription_cancelled,4374.32,False,False,False,True,True,3,False,False,False,180,False,lost
