transaction_id,merchant_id,created_at,amount_inr
TXN100000,MERCH_SAAS_02,2025-03-19T20:00:00+00:00,2350.01
TXN100001,MERCH_RETAIL_01,2025-01-13T23:00:00+00:00,3023.18
TXN100002,MERCH_RETAIL_01,2025-04-12T16:00:00+00:00,2352.63
TXN100003,MERCH_ECOM_03,2025-04-28T11:00:00+00:00,3961.66
TXN100004,MERCH_ECOM_03,2025-06-29T15:00:00+00:00,3054.75
TXN100005,MERCH_ECOM_03,2025-03-24T06:00:00+00:00,3919.44
TXN100006,MERCH_SAAS_02,2025-01-18T15:00:00+00:00,1346.31
TXN100007,MERCH_SAAS_02,2025-05-01T11:00:00+00:00,4481.62
TXN100008,MERCH_ECOM_03,2025-02-27T02:00:00+00:00,2173.83
TXN100009,MERCH_ECOM_03,2025-01-21T12:00:00+00:00,1958.38
TXN100010,MERCH_RETAIL_01,2025-06-18T00:00:00+00:00,3140.18
TXN100011,MERCH_SAAS_02,2025-06-01T02:00:00+00:00,1244.68
TXN100012,MERCH_ECOM_03,2025-06-23T20:00:00+00:00,2847.94
TXN100013,MERCH_RETAIL_01,2025-05-08T01:00:00+00:00,10746.28
TXN100014,MERCH_RETAIL_01,2025-05-31T20:00:00+00:00,5622.29
TXN100015,MERCH_RETAIL_01,2025-05-13T07:00:00+00:00,1280.09
TXN100016,MERCH_RETAIL_01,2025-04-05T22:00:00+00:00,1331.7
TXN100017,MERCH_DIGITAL_04,2025-06-02T02:00:00+00:00,1999.13
TXN100018,MERCH_RETAIL_01,2025-04-28T23:00:00+00:00,5146.05
TXN100019,MERCH_DIGITAL_04,2025-01-08T21:00:00+00:00,1958.24
TXN100020,MERCH_ECOM_03,2025-06-23T05:00:00+00:00,5272.77
TXN100021,MERCH_RETAIL_01,2025-01-13T14:00:00+00:00,5177.83
TXN100022,MERCH_RETAIL_01,2025-06-25T03:00:00+00:00,1569.01
TXN100023,MERCH_RETAIL_01,2025-02-14T18:00:00+00:00,3518.03
TXN100024,MERCH_ECOM_03,2025-05-08T20:00:00+00:00,3802.77
TXN100025,MERCH_RETAIL_01,2025-04-01T10:00:00+00:00,3066.46
TXN100026,MERCH_SAAS_02,2025-03-15T16:00:00+00:00,1217.79
TXN100027,MERCH_RETAIL_01,2025-02-26T04:00:00+00:00,1065.03
TXN100028,MERCH_ECOM_03,2025-03-24T20:00:00+00:00,1614.8
TXN100029,MERCH_DIGITAL_04,2025-03-22T19:00:00+00:00,5561.01
TXN100030,MERCH_RETAIL_01,2025-03-16T20:00:00+00:00,574.64
TXN100031,MERCH_SAAS_02,2025-01-11T09:00:00+00:00,2805.53
TXN100032,MERCH_ECOM_03,2025-03-11T05:00:00+00:00,8857.01
TXN100033,MERCH_DIGITAL_04,2025-02-18T18:00:00+00:00,1139.6
TXN100034,MERCH_RETAIL_01,2025-05-20T01:00:00+00:00,935.46
TXN100035,MERCH_RETAIL_01,2025-04-18T05:00:00+00:00,2336.91
